player_id,minutes_played,attempted_passes,xpass_completion_percentage,season_name
0Oq6lyNdM6,95,55,0.8471000000000001,2022
0Oq6lyNdM6,69,26,0.809,2022
0Oq6lyNdM6,96,59,0.8202,2022
0Oq6lyNdM6,85,54,0.8515,2022
0Oq6lyNdM6,99,53,0.8668,2022
0Oq6lyNdM6,79,42,0.7809,2022
0Oq6lyNdM6,104,50,0.884,2022
0Oq6lyNdM6,95,54,0.8517,2022
0Oq6lyNdM6,96,55,0.8523000000000001,2022
0Oq6lyNdM6,86,35,0.8867,2022
0Oq6lyNdM6,68,26,0.8535,2022
0Oq6lyNdM6,97,52,0.8632000000000001,2022
0Oq6lyNdM6,99,55,0.8349000000000001,2022
0Oq6lyNdM6,99,47,0.8974000000000001,2022
0Oq6lyNdM6,84,37,0.8347,2022
0Oq6lyNdM6,83,38,0.8008000000000001,2022
0Oq6lyNdM6,97,80,0.8853000000000001,2022
0Oq6lyNdM6,97,58,0.8128000000000001,2022
0Oq6lyNdM6,96,64,0.8475,2022
0Oq6lyNdM6,80,35,0.8011,2022
0Oq6lyNdM6,98,48,0.8276,2022
0Oq6lyNdM6,132,63,0.8124,2022
0Oq6lyNdM6,100,39,0.7931,2022
0Oq6lyNdM6,99,44,0.7894,2022
0Oq6lyNdM6,67,30,0.6916,2023
0Oq6lyNdM6,95,55,0.7978000000000001,2023
0Oq6lyNdM6,100,33,0.8385,2023
0Oq6lyNdM6,97,56,0.8411000000000001,2023
0Oq6lyNdM6,99,45,0.8233,2023
0Oq6lyNdM6,104,33,0.8243,2023
0Oq6lyNdM6,81,63,0.8877,2023
0Oq6lyNdM6,97,44,0.808,2023
0Oq6lyNdM6,100,44,0.7633000000000001,2023
0Oq6lyNdM6,98,73,0.8296,2023
0Oq6lyNdM6,101,48,0.8297,2023
0Oq6lyNdM6,86,53,0.8672000000000001,2023
0Oq6lyNdM6,99,40,0.798,2023
0Oq6lyNdM6,95,30,0.8891,2023
0Oq6lyNdM6,39,10,0.5608000000000001,2023
0Oq6lyNdM6,101,66,0.8055,2023
0Oq6lyNdM6,67,26,0.8718,2023
0Oq6lyNdM6,74,44,0.8363,2023
0Oq6lyNdM6,65,32,0.8354,2023
0Oq6lyNdM6,97,45,0.8701000000000001,2023
0Oq6lyNdM6,98,68,0.855,2023
0Oq6lyNdM6,62,46,0.8754000000000001,2023
0Oq6lyNdM6,37,22,0.8193,2023
0Oq6lyNdM6,79,51,0.8056000000000001,2023
0Oq6lyNdM6,96,53,0.8835000000000001,2023
0Oq6lyNdM6,104,72,0.8318000000000001,2023
0Oq6lyNdM6,104,35,0.804,2023
0Oq6lyNdM6,97,64,0.8996000000000001,2023
0Oq6lyNdM6,104,38,0.7929,2023
0Oq6lyNdM6,97,65,0.874,2023
0Oq6wv26Q6,35,13,0.7614000000000001,2018
0Oq6wv26Q6,39,8,0.6960000000000001,2018
0Oq6wv26Q6,70,17,0.8171,2019
0Oq6wv26Q6,51,12,0.7943,2019
0Oq6wv26Q6,93,20,0.6496000000000001,2019
0Oq6wv26Q6,99,26,0.6511,2019
0Oq6wv26Q6,96,16,0.6651,2019
0Oq6wv26Q6,64,18,0.7142000000000001,2019
0Oq6wv26Q6,92,26,0.7568,2019
0Oq6wv26Q6,38,12,0.5805,2019
0Oq6wv26Q6,31,7,0.5315,2019
0Oq6wv26Q6,87,27,0.7588,2019
0Oq6wv26Q6,77,14,0.8063,2019
0Oq6wv26Q6,30,3,0.679,2019
0Oq6wv26Q6,80,27,0.739,2019
0Oq6wv26Q6,31,15,0.6888000000000001,2019
0Oq6wv26Q6,48,14,0.7755000000000001,2019
0Oq6wv26Q6,72,9,0.811,2019
0Oq6wv26Q6,30,4,0.6463,2019
0Oq6wv26Q6,58,10,0.9229,2019
0Oq6wv26Q6,62,15,0.6489,2020
0Oq6wv26Q6,65,13,0.768,2020
0Oq6wv26Q6,30,2,0.8877,2020
0Oq6wv26Q6,47,11,0.7199,2020
0Oq6wv26Q6,30,4,0.6047,2020
0Oq6wv26Q6,41,10,0.6086,2020
0Oq6wv26Q6,71,21,0.7717,2020
0Oq6wv26Q6,68,34,0.6278,2020
0Oq6wv26Q6,82,18,0.7508,2020
0Oq6wv26Q6,100,29,0.7625000000000001,2020
0Oq6wv26Q6,39,7,0.6982,2020
