player_id,player_name,minutes_played,Interrupting,goals_added_total,xpass_completion_percentage,Fouling,Receiving,Dribbling,Shooting,attempted_passes,season_name,xassists,xgoals,Passing
0Oq6lyNdM6,Wil Trapp,99,0.020300000000000002,0.034300000000000004,0.8776,0.0,-0.0004,0.0045000000000000005,0.0,92,2018,0.0362,0.014400000000000001,0.0099
0Oq6lyNdM6,Wil Trapp,100,-0.0509,0.15270000000000003,0.7771,0.0022,0.0105,0.0434,0.0,52,2019,0.0,0.0,0.14750000000000002
0Oq6lyNdM6,Wil Trapp,103,0.1087,0.14210000000000003,0.8548,0.0,0.0037,0.012400000000000001,0.0,78,2019,0.1897,0.020300000000000002,0.0173
0Oq6lyNdM6,Wil Trapp,96,0.096,0.1118,0.8624,0.0,0.0035,0.004200000000000001,0.0,61,2019,0.017,0.0,0.0081
0Oq6lyNdM6,Wil Trapp,100,0.2099,0.3219,0.8565,0.0,0.0125,0.0439,0.0,102,2019,0.0,0.0,0.055600000000000004
0Oq6lyNdM6,Wil Trapp,100,0.047900000000000005,0.1435,0.8383,-0.0012000000000000001,0.0217,0.0201,0.0366,75,2019,0.0,0.0,0.0184
0Oq6lyNdM6,Wil Trapp,105,0.2034,0.34140000000000004,0.8038000000000001,-0.0014,0.0109,0.0291,0.029300000000000003,54,2019,0.1374,0.0,0.07010000000000001
0Oq6lyNdM6,Wil Trapp,38,0.2414,0.3078,0.9048,-0.0151,0.0021000000000000003,0.013300000000000001,0.0,37,2019,0.0341,0.0,0.0661
0Oq6lyNdM6,Wil Trapp,96,0.06760000000000001,0.12530000000000002,0.8326,0.0011,0.0034000000000000002,0.0015,0.0,60,2019,0.0,0.0,0.0517
0Oq6lyNdM6,Wil Trapp,99,0.18810000000000002,0.24680000000000002,0.8293,-0.0396,0.020300000000000002,0.016800000000000002,0.0,53,2019,0.121,0.0,0.061200000000000004
0Oq6lyNdM6,Wil Trapp,105,0.0158,0.08420000000000001,0.8406,0.0,0.0064,-0.014100000000000001,0.0,68,2019,0.0,0.0,0.0761
0Oq6lyNdM6,Wil Trapp,47,0.054200000000000005,0.2589,0.7525000000000001,0.0,0.006200000000000001,0.0178,0.0679,27,2019,0.0708,0.0,0.11280000000000001
0Oq6lyNdM6,Wil Trapp,97,0.09570000000000001,0.34890000000000004,0.9019,0.0,0.012400000000000001,0.0403,0.018500000000000003,49,2019,0.0149,0.0,0.182
0Oq6lyNdM6,Wil Trapp,99,0.0228,0.021600000000000005,0.8491000000000001,-0.0373,0.013800000000000002,0.007200000000000001,0.0,71,2019,0.061,0.0,0.0151
0Oq6lyNdM6,Wil Trapp,100,0.08710000000000001,0.16870000000000002,0.8696,-0.0047,-0.00030000000000000003,-0.0102,0.024200000000000003,72,2019,0.0,0.027600000000000003,0.0726
0Oq6lyNdM6,Wil Trapp,104,0.1197,0.2675,0.8803000000000001,0.020800000000000003,0.0066,0.0137,0.005200000000000001,55,2019,0.0199,0.0,0.1015
0Oq6lyNdM6,Wil Trapp,103,0.0229,0.14620000000000002,0.8163,0.0,0.0178,0.0012000000000000001,0.0,44,2019,0.16140000000000002,0.0,0.1043
0Oq6lyNdM6,Wil Trapp,92,0.1343,0.33080000000000004,0.7956000000000001,0.0217,0.0061,-0.0002,0.0164,45,2019,0.0,0.0,0.1525
0Oq6lyNdM6,Wil Trapp,99,0.0375,0.1187,0.8419000000000001,-0.012700000000000001,0.0051,0.0111,0.0264,61,2019,0.1829,0.0,0.051300000000000005
0Oq6lyNdM6,Wil Trapp,100,0.0665,0.22060000000000002,0.8325,0.0,0.0067,0.062200000000000005,0.0257,66,2019,0.0,0.0,0.059500000000000004
0Oq6lyNdM6,Wil Trapp,97,0.039900000000000005,0.09250000000000001,0.8814000000000001,-0.008,0.0082,0.047900000000000005,0.0,81,2019,0.0,0.0,0.0045000000000000005
0Oq6lyNdM6,Wil Trapp,96,0.031200000000000002,0.21950000000000003,0.9155000000000001,0.0006000000000000001,0.010100000000000001,0.035,0.0,97,2019,0.0,0.0,0.1426
0Oq6lyNdM6,Wil Trapp,98,0.011,0.38920000000000005,0.8699,0.0252,0.1363,0.06430000000000001,0.0287,69,2019,0.0,0.0,0.1237
0Oq6lyNdM6,Wil Trapp,99,0.23070000000000002,0.24440000000000003,0.7462000000000001,-0.0034000000000000002,0.0057,0.0179,0.0,63,2019,0.0716,0.0,-0.006500000000000001
0Oq6lyNdM6,Wil Trapp,97,0.014,0.0733,0.8786,-0.0123,0.0056,0.015,0.0,127,2019,0.0,0.0,0.051000000000000004
0Oq6lyNdM6,Wil Trapp,95,0.0483,0.0284,0.8437,0.0006000000000000001,0.0088,-0.06430000000000001,0.0,66,2019,0.0584,0.0183,0.035
0Oq6lyNdM6,Wil Trapp,100,0.021400000000000002,-0.06979999999999999,0.8466,-0.0801,0.008400000000000001,0.021500000000000002,0.0,58,2019,0.0,0.0,-0.041
0Oq6lyNdM6,Wil Trapp,99,0.038700000000000005,0.20090000000000002,0.8325,0.0007,0.027200000000000002,0.027100000000000003,0.0,64,2019,0.2918,0.0189,0.1072
