player_id,minutes_played,xgoals,goals,season_name
0Oq6lyNdM6,96,0.0246,0,2022
0Oq6lyNdM6,86,0.0196,0,2022
0Oq6lyNdM6,68,0.0,0,2022
0Oq6lyNdM6,97,0.0177,0,2022
0Oq6lyNdM6,99,0.0,0,2022
0Oq6lyNdM6,99,0.0,0,2022
0Oq6lyNdM6,84,0.0,0,2022
0Oq6lyNdM6,83,0.0,0,2022
0Oq6lyNdM6,97,0.0,0,2022
0Oq6lyNdM6,97,0.0795,0,2022
0Oq6lyNdM6,96,0.0,0,2022
0Oq6lyNdM6,80,0.031400000000000004,0,2022
0Oq6lyNdM6,98,0.0,0,2022
0Oq6lyNdM6,132,0.0155,0,2022
0Oq6lyNdM6,100,0.0,0,2022
0Oq6lyNdM6,99,0.0,0,2022
0Oq6lyNdM6,67,0.0,0,2023
0Oq6lyNdM6,95,0.0,0,2023
0Oq6lyNdM6,100,0.0451,0,2023
0Oq6lyNdM6,97,0.0687,0,2023
0Oq6lyNdM6,99,0.0244,0,2023
0Oq6lyNdM6,104,0.0211,0,2023
0Oq6lyNdM6,81,0.0,0,2023
0Oq6lyNdM6,97,0.0,0,2023
0Oq6lyNdM6,100,0.0,0,2023
0Oq6lyNdM6,98,0.044500000000000005,0,2023
0Oq6lyNdM6,101,0.0,0,2023
0Oq6lyNdM6,86,0.0,0,2023
0Oq6lyNdM6,99,0.0,0,2023
0Oq6lyNdM6,95,0.056,0,2023
0Oq6lyNdM6,39,0.0,0,2023
0Oq6lyNdM6,101,0.0,0,2023
0Oq6lyNdM6,67,0.0286,0,2023
0Oq6lyNdM6,74,0.0,0,2023
0Oq6lyNdM6,65,0.047,0,2023
0Oq6lyNdM6,97,0.0179,0,2023
0Oq6lyNdM6,98,0.0,0,2023
0Oq6lyNdM6,62,0.025400000000000002,0,2023
0Oq6lyNdM6,37,0.0818,0,2023
0Oq6lyNdM6,79,0.030500000000000003,0,2023
0Oq6lyNdM6,96,0.0673,0,2023
0Oq6lyNdM6,104,0.0135,0,2023
0Oq6lyNdM6,104,0.0,0,2023
0Oq6lyNdM6,97,0.0,0,2023
0Oq6lyNdM6,104,0.0199,0,2023
0Oq6lyNdM6,97,0.022,0,2023
0Oq6wv26Q6,35,0.1009,0,2018
0Oq6wv26Q6,39,0.0975,0,2018
0Oq6wv26Q6,70,0.0,0,2019
0Oq6wv26Q6,51,0.015300000000000001,0,2019
0Oq6wv26Q6,93,0.11,1,2019
0Oq6wv26Q6,99,0.0713,0,2019
0Oq6wv26Q6,96,0.0,0,2019
0Oq6wv26Q6,64,0.11960000000000001,0,2019
0Oq6wv26Q6,92,0.6845,2,2019
0Oq6wv26Q6,38,0.0,0,2019
0Oq6wv26Q6,31,0.1293,1,2019
0Oq6wv26Q6,87,0.2424,1,2019
0Oq6wv26Q6,77,0.0,0,2019
0Oq6wv26Q6,30,0.0,0,2019
0Oq6wv26Q6,80,0.5697,0,2019
0Oq6wv26Q6,31,0.0,0,2019
0Oq6wv26Q6,48,0.1115,0,2019
0Oq6wv26Q6,72,0.0,0,2019
0Oq6wv26Q6,30,0.0,0,2019
0Oq6wv26Q6,58,0.0,0,2019
0Oq6wv26Q6,62,0.1325,0,2020
0Oq6wv26Q6,65,0.0472,0,2020
0Oq6wv26Q6,30,0.0913,1,2020
0Oq6wv26Q6,47,0.1663,0,2020
0Oq6wv26Q6,30,0.0438,0,2020
0Oq6wv26Q6,41,0.1608,1,2020
0Oq6wv26Q6,71,0.29810000000000003,1,2020
0Oq6wv26Q6,68,0.1799,0,2020
0Oq6wv26Q6,82,0.6931,1,2020
0Oq6wv26Q6,100,0.0,0,2020
0Oq6wv26Q6,39,0.0,0,2020
0Oq6wv26Q6,35,0.1626,0,2020
0Oq6wv26Q6,78,0.16790000000000002,0,2020
0Oq6wv26Q6,65,0.4545,1,2021
0Oq6wv26Q6,32,0.0,0,2021
0Oq6wv26Q6,67,0.2998,0,2021
0Oq6wv26Q6,86,0.44420000000000004,1,2021
0Oq6wv26Q6,91,0.1748,0,2021
0Oq6wv26Q6,87,0.061900000000000004,0,2021
0Oq6wv26Q6,68,0.1773,0,2021
0Oq6wv26Q6,61,0.0969,0,2021
0Oq6wv26Q6,33,0.07010000000000001,0,2021
0Oq6wv26Q6,88,0.1665,0,2021
0Oq6wv26Q6,32,0.36460000000000004,0,2021
0Oq6wv26Q6,60,0.7534000000000001,2,2021
0Oq6wv26Q6,31,0.0,0,2021
0Oq6wv26Q6,37,0.0699,0,2021
0Oq6wv26Q6,52,0.16040000000000001,1,2021
0Oq6wv26Q6,35,0.0801,0,2021
0Oq6wv26Q6,37,0.0,0,2021
0Oq6wv26Q6,30,0.40850000000000003,0,2021
0Oq6wv26Q6,50,0.0604,0,2021
0Oq6wv26Q6,72,1.1262,1,2021
0Oq6wv26Q6,99,0.1501,0,2021
0Oq6wv26Q6,78,0.7271000000000001,1,2021
0Oq6wv26Q6,36,0.0,0,2021
0Oq6wv26Q6,84,0.22390000000000002,0,2022
0Oq6wv26Q6,99,0.32480000000000003,0,2022
0Oq6wv26Q6,82,0.17350000000000002,1,2022
0Oq6wv26Q6,62,0.9537,1,2022
0Oq6wv26Q6,78,0.5718,0,2022
0Oq6wv26Q6,102,0.8018000000000001,0,2022
0Oq6wv26Q6,76,0.9163,1,2022
0Oq6wv26Q6,101,0.0789,0,2022
0Oq6wv26Q6,99,0.0989,0,2022
0Oq6wv26Q6,97,0.0,0,2022
0Oq6wv26Q6,36,0.0176,0,2022
0Oq6wv26Q6,86,0.2048,0,2022
0Oq6wv26Q6,101,0.6377,1,2022
0Oq6wv26Q6,33,0.1422,0,2022
0Oq6wv26Q6,68,0.0877,0,2022
0Oq6wv26Q6,70,0.0,0,2022
0Oq6wv26Q6,97,0.19990000000000002,0,2022
0Oq6wv26Q6,103,0.4435,1,2022
0Oq6wv26Q6,78,0.034800000000000005,0,2022
0Oq6wv26Q6,69,0.0,0,2022
0Oq6wv26Q6,35,0.18910000000000002,0,2022
0Oq6wv26Q6,50,0.1474,0,2022
0Oq6wv26Q6,97,0.0,0,2022
0Oq6wv26Q6,91,0.1547,0,2022
0Oq6wv26Q6,104,0.1333,0,2022
0Oq6wv26Q6,90,0.033600000000000005,0,2022
